Clasificación;Título del Producto;Precio;URL
🟢 TORNILLO;"Tornillo Autoperforante Madera 1-1/2 "" 10 mm 100 unidad(es)";7892.0;"https://www.sodimac.cl/sodimac-cl/articulo/110310547/Tornillo-Autoperforante-Madera-1-1-2-""-10-mm-100-unidad(es)/110310551"
🟢 TORNILLO;"Tornillo Autoperforante Yeso-Cartón 1-5/8 "" 6 mm 600 unidad(es)";11990.0;"https://www.sodimac.cl/sodimac-cl/articulo/110305829/Tornillo-Autoperforante-Yeso-Cartón-1-5-8-""-6-mm-600-unidad(es)/110305846"
🟢 TORNILLO;"Tornillo Autoperforante Yeso-Cartón 3/4 "" 6 mm 250 unidad(es)";2990.0;"https://www.sodimac.cl/sodimac-cl/articulo/110275052/Tornillo-Autoperforante-Yeso-Cartón-3-4-""-6-mm-250-unidad(es)/110275054"
🟢 TORNILLO;Tornillo 8x3 CRS Zincado x 100 unidades;3990.0;https://www.sodimac.cl/sodimac-cl/articulo/112472826/Tornillo-8x3-CRS-Zincado-x-100-unidades/112472827
🟢 TORNILLO;Tornillo Cabeza De Lenteja 8X2 Punta Broca 100 Unidades;3990.0;https://www.sodimac.cl/sodimac-cl/articulo/151474437/Tornillo-Cabeza-De-Lenteja-8X2-Punta-Broca-100-Unidades/151474438
🟢 TORNILLO;"Tornillo drywall Autoperforante Madera 1-1/4 "" 6 1000 unidad(es)";11990.0;"https://www.sodimac.cl/sodimac-cl/articulo/140778827/Tornillo-drywall-Autoperforante-Madera-1-1-4-""-6-1000-unidad(es)/140778828"
🟢 TORNILLO;"Tornillo Autoperforante Metal 3/4 "" 12 mm 100 unidad(es)";4290.0;"https://www.sodimac.cl/sodimac-cl/articulo/110329458/Tornillo-Autoperforante-Metal-3-4-""-12-mm-100-unidad(es)/110329471"
🟢 TORNILLO;"Tornillo Autoperforante Madera 3/4 "" 8 mm 100 unidad(es)";1119.0;"https://www.sodimac.cl/sodimac-cl/articulo/110311811/Tornillo-Autoperforante-Madera-3-4-""-8-mm-100-unidad(es)/110311821"
🟢 TORNILLO;Tornillo Tirafondo Metal 1/2 5.50 mm 2 unidad(es);990.0;https://www.sodimac.cl/sodimac-cl/articulo/112922102/Tornillo-Tirafondo-Metal-1-2-5.50-mm-2-unidad(es)/112922103
🟢 TORNILLO;"Tornillo Autoperforante Fibrocemento 1-1/4 "" 3.9 mm 100 unidad(es)";2290.0;"https://www.sodimac.cl/sodimac-cl/articulo/133017262/Tornillo-Autoperforante-Fibrocemento-1-1-4-""-3.9-mm-100-unidad(es)/133017263"
